python main.py restaurant-json-Senna.txt elman restaurant-elman-Senna-3-50-50 3 50 50 true
[learning] epoch 0 >> 0.03% completed in 0.11 (sec) <<
[learning] epoch 0 >> 8.36% completed in 46.86 (sec) <<
[learning] epoch 0 >> 8.39% completed in 47.06 (sec) <<
[learning] epoch 0 >> 8.42% completed in 47.24 (sec) <<
[learning] epoch 0 >> 8.45% completed in 47.44 (sec) <<
[learning] epoch 0 >> 8.49% completed in 47.84 (sec) <<
[learning] epoch 0 >> 8.52% completed in 48.04 (sec) <<
[learning] epoch 0 >> 8.55% completed in 48.42 (sec) <<
[learning] epoch 0 >> 8.58% completed in 48.66 (sec) <<
[learning] epoch 0 >> 8.61% completed in 48.88 (sec) <<
[learning] epoch 0 >> 8.65% completed in 48.96 (sec) <<
[learning] epoch 0 >> 8.68% completed in 49.17 (sec) <<
[learning] epoch 0 >> 8.71% completed in 49.43 (sec) <<
[learning] epoch 0 >> 8.74% completed in 49.77 (sec) <<
[learning] epoch 0 >> 8.78% completed in 49.85 (sec) <<
[learning] epoch 0 >> 8.81% completed in 50.09 (sec) <<
[learning] epoch 0 >> 8.84% completed in 50.17 (sec) <<
[learning] epoch 0 >> 8.87% completed in 50.31 (sec) <<
[learning] epoch 0 >> 8.90% completed in 51.00 (sec) <<
[learning] epoch 0 >> 8.94% completed in 51.12 (sec) <<
[learning] epoch 0 >> 8.97% completed in 51.46 (sec) <<
[learning] epoch 0 >> 9.00% completed in 51.78 (sec) <<
[learning] epoch 0 >> 9.03% completed in 51.84 (sec) <<
[learning] epoch 0 >> 9.06% completed in 52.00 (sec) <<
[learning] epoch 0 >> 9.10% completed in 52.10 (sec) <<
[learning] epoch 0 >> 9.13% completed in 52.74 (sec) <<
[learning] epoch 0 >> 9.16% completed in 52.88 (sec) <<
[learning] epoch 0 >> 9.19% completed in 53.34 (sec) <<
[learning] epoch 0 >> 9.23% completed in 53.49 (sec) <<
[learning] epoch 0 >> 9.26% completed in 53.73 (sec) <<
[learning] epoch 0 >> 9.29% completed in 54.03 (sec) <<
[learning] epoch 0 >> 9.32% completed in 54.22 (sec) <<
[learning] epoch 0 >> 9.35% completed in 54.29 (sec) <<
[learning] epoch 0 >> 9.39% completed in 54.46 (sec) <<
[learning] epoch 0 >> 9.42% completed in 54.72 (sec) <<
[learning] epoch 0 >> 9.45% completed in 55.15 (sec) <<
[learning] epoch 0 >> 9.48% completed in 55.24 (sec) <<
[learning] epoch 0 >> 9.51% completed in 55.42 (sec) <<
[learning] epoch 0 >> 9.55% completed in 56.15 (sec) <<
[learning] epoch 0 >> 9.58% completed in 56.23 (sec) <<
[learning] epoch 0 >> 9.61% completed in 56.37 (sec) <<
[learning] epoch 0 >> 9.64% completed in 57.03 (sec) <<
[learning] epoch 0 >> 9.68% completed in 57.14 (sec) <<
[learning] epoch 0 >> 9.71% completed in 57.63 (sec) <<
[learning] epoch 0 >> 9.74% completed in 57.86 (sec) <<
[learning] epoch 0 >> 9.77% completed in 58.12 (sec) <<
[learning] epoch 0 >> 9.80% completed in 58.17 (sec) <<
[learning] epoch 0 >> 9.84% completed in 58.65 (sec) <<
[learning] epoch 0 >> 9.87% completed in 58.92 (sec) <<
[learning] epoch 0 >> 9.90% completed in 59.10 (sec) <<
[learning] epoch 0 >> 9.93% completed in 59.29 (sec) <<
[learning] epoch 0 >> 9.96% completed in 59.39 (sec) <<
[learning] epoch 0 >> 10.00% completed in 59.70 (sec) <<
[learning] epoch 0 >> 10.03% completed in 59.83 (sec) <<
[learning] epoch 0 >> 10.06% completed in 59.96 (sec) <<
[learning] epoch 0 >> 10.09% completed in 60.15 (sec) <<
[learning] epoch 0 >> 10.13% completed in 60.37 (sec) <<
[learning] epoch 0 >> 10.16% completed in 60.43 (sec) <<
[learning] epoch 0 >> 10.19% completed in 60.46 (sec) <<
[learning] epoch 0 >> 10.22% completed in 60.59 (sec) <<
[learning] epoch 0 >> 10.25% completed in 60.82 (sec) <<
[learning] epoch 0 >> 10.29% completed in 61.14 (sec) <<
[learning] epoch 0 >> 10.32% completed in 61.35 (sec) <<
[learning] epoch 0 >> 10.35% completed in 61.59 (sec) <<
[learning] epoch 0 >> 10.38% completed in 61.73 (sec) <<
[learning] epoch 0 >> 10.41% completed in 61.86 (sec) <<
[learning] epoch 0 >> 10.45% completed in 61.96 (sec) <<
[learning] epoch 0 >> 10.48% completed in 62.30 (sec) <<
[learning] epoch 0 >> 10.51% completed in 62.65 (sec) <<
[learning] epoch 0 >> 10.54% completed in 63.04 (sec) <<
[learning] epoch 0 >> 10.58% completed in 63.11 (sec) <<
[learning] epoch 0 >> 10.61% completed in 63.74 (sec) <<
[learning] epoch 0 >> 10.64% completed in 64.24 (sec) <<
[learning] epoch 0 >> 10.67% completed in 64.62 (sec) <<
[learning] epoch 0 >> 10.70% completed in 64.85 (sec) <<
[learning] epoch 0 >> 10.74% completed in 65.06 (sec) <<
[learning] epoch 0 >> 10.77% completed in 65.29 (sec) <<
[learning] epoch 0 >> 10.80% completed in 65.63 (sec) <<
